,project_name,warning_code,file_path,message,line
0,dpcpp,DPCT1049,present/.../main.dp.cpp,"DPCT1049:0: The workgroup size passed to the SYCL kernel may exceed the
limit. To get the device limit, query info::device::max_work_group_size.
Adjust the workgroup size if needed.",560
1,dpcpp,DPCT1049,diamond/.../masking.dp.cpp,"DPCT1049:0: The workgroup size passed to the SYCL kernel may exceed the limit.
To get the device limit, query info::device::max_work_group_size. Adjust the
workgroup size if needed.",307
2,dpcpp,DPCT1065,split/.../main.dp.cpp,"DPCT1065:0: Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for better
performance, if there is no access to global memory.",65
3,dpcpp,DPCT1065,split/.../main.dp.cpp,"DPCT1065:1: Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for better
performance, if there is no access to global memory.",76
4,dpcpp,DPCT1065,split/.../main.dp.cpp,"DPCT1065:2: Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for better
performance, if there is no access to global memory.",86
5,dpcpp,DPCT1065,split/.../main.dp.cpp,"DPCT1065:3: Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for better
performance, if there is no access to global memory.",115
6,dpcpp,DPCT1065,split/.../main.dp.cpp,"DPCT1065:4: Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for better
performance, if there is no access to global memory.",146
7,dpcpp,DPCT1065,split/.../main.dp.cpp,"DPCT1065:5: Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for better
performance, if there is no access to global memory.",174
8,dpcpp,DPCT1065,split/.../main.dp.cpp,"DPCT1065:6: Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for better
performance, if there is no access to global memory.",187
9,dpcpp,DPCT1049,medianfilter/.../main.dp.cpp,"DPCT1049:1: The workgroup size passed to the SYCL kernel may exceed the limit.
To get the device limit, query info::device::max_work_group_size. Adjust the
workgroup size if needed.",130
10,dpcpp,DPCT1065,medianfilter/.../MedianFilter.dp.cpp,"DPCT1065:0: Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for better
performance, if there is no access to global memory.",153
11,dpcpp,DPCT1049,qtclustering/.../QTC.dp.cpp,"DPCT1049:14: The workgroup size passed to the SYCL kernel may exceed the
limit. To get the device limit, query info::device::max_work_group_size.
Adjust the workgroup size if needed.",274
12,dpcpp,DPCT1049,qtclustering/.../QTC.dp.cpp,"DPCT1049:15: The workgroup size passed to the SYCL kernel may exceed the
limit. To get the device limit, query info::device::max_work_group_size.
Adjust the workgroup size if needed.",341
13,dpcpp,DPCT1049,qtclustering/.../QTC.dp.cpp,"DPCT1049:16: The workgroup size passed to the SYCL kernel may exceed the
limit. To get the device limit, query info::device::max_work_group_size.
Adjust the workgroup size if needed.",409
14,dpcpp,DPCT1049,qtclustering/.../QTC.dp.cpp,"DPCT1049:17: The workgroup size passed to the SYCL kernel may exceed the
limit. To get the device limit, query info::device::max_work_group_size.
Adjust the workgroup size if needed.",467
15,dpcpp,DPCT1049,miniFE/.../basic/optional/cuda/CudaNode.dp.hpp,"DPCT1049:6: The workgroup size passed to the SYCL kernel may exceed the limit.
To get the device limit, query info::device::max_work_group_size. Adjust the
workgroup size if needed.",37
