,project_name,recommendation_code,file_path,message,line
0,relion_cta,CTA1008,/src/acc/cuda/cuda_benchmark_utils.dp.cpp,"CTA1008:0: The clock function is not defined in DPC++, you can leave the code as it is for now.
And consult with your hardware vendor to find a replacement. 15/15 1008 warnings in CTA analysis data pool choose not to change anything.",32
1,relion_cta,CTA1008,/src/acc/cuda/cuda_benchmark_utils.dp.cpp,"CTA1008:1: The clock function is not defined in DPC++, you can leave the code as it is for now.
And consult with your hardware vendor to find a replacement. 15/15 1008 warnings in CTA analysis data pool choose not to change anything.",55
2,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:293: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",208
3,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:294: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",233
4,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:295: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",245
5,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:296: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",280
6,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:297: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",318
7,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:299: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",608
8,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:300: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",622
9,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:301: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",900
10,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:302: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",1060
11,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:303: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",1092
12,relion_cta,CTA1010,/src/acc/cuda/cuda_autopicker.dp.cpp,"CTA1010:306: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",1172
13,relion_cta,CTA1010,/src/acc/cuda/cub/device/dispatch/dispatch_radix_sort.dp.hpp,"CTA1010:104: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",1026
14,relion_cta,CTA1010,/src/acc/cuda/cub/device/dispatch/dispatch_radix_sort.dp.hpp,"CTA1010:105: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",1057
15,relion_cta,CTA1010,/src/acc/cuda/cub/device/dispatch/dispatch_radix_sort.dp.hpp,"CTA1010:106: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",1096
16,relion_cta,CTA1010,/src/acc/cuda/cub/device/dispatch/dispatch_radix_sort.dp.hpp,"CTA1010:108: Based on analysed sample data, in 7/9 cases in the sample data, this warning was ignored,
so strongly recommended to ignore this warning.",1558
17,relion_cta,CTA1032,/src/acc/cuda/cuda_kernels/helper.dp.cpp,"CTA1032:221: Based on analysed sample data, recommended to ignore this warning（5/8 cases）. If it didn't work, adjust the code.",84
18,relion_cta,CTA1032,/src/acc/cuda/cuda_kernels/helper.dp.cpp,"CTA1032:222: Based on analysed sample data, recommended to ignore this warning（5/8 cases）. If it didn't work, adjust the code.",103
19,relion_cta,CTA1032,/src/acc/cuda/cuda_kernels/helper.dp.cpp,"CTA1032:223: Based on analysed sample data, recommended to ignore this warning（5/8 cases）. If it didn't work, adjust the code.",155
20,relion_cta,CTA1032,/src/acc/cuda/cuda_kernels/helper.dp.hpp,"CTA1032:118: Based on analysed sample data, recommended to ignore this warning（5/8 cases）. If it didn't work, adjust the code.",205
21,relion_cta,CTA1032,/src/acc/cuda/cuda_kernels/helper.dp.hpp,"CTA1032:119: Based on analysed sample data, recommended to ignore this warning（5/8 cases）. If it didn't work, adjust the code.",213
22,relion_cta,CTA1032,/src/acc/cuda/cuda_kernels/helper.dp.hpp,"CTA1032:120: Based on analysed sample data, recommended to ignore this warning（5/8 cases）. If it didn't work, adjust the code.",221
23,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/helper.dp.cpp,"CTA1065:224: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",330
24,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/helper.dp.cpp,"CTA1065:226: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",345
25,relion_cta,CTA1065,/src/acc/cuda/cub/util_ptx.dp.hpp,"CTA1065:56: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",272
26,relion_cta,CTA1065,/src/acc/cuda/cub/util_ptx.dp.hpp,"CTA1065:57: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",288
27,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/BP.dp.hpp,"CTA1065:307: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",63
28,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/BP.dp.hpp,"CTA1065:312: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",242
29,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/BP.dp.hpp,"CTA1065:317: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",499
30,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/diff2.dp.hpp,"CTA1065:133: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",69
31,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/diff2.dp.hpp,"CTA1065:134: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",147
32,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/diff2.dp.hpp,"CTA1065:135: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",390
33,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/diff2.dp.hpp,"CTA1065:145: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",408
34,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/diff2.dp.hpp,"CTA1065:146: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",513
35,relion_cta,CTA1065,/src/acc/cuda/cuda_kernels/diff2.dp.hpp,"CTA1065:156: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",589
