message_id,message
1,"The workgroup size passed to the SYCL kernel may
* exceed the limit. To get the device limit, query
* info::device::max_work_group_size. Adjust the workgroup size if
* needed.
"
2,"The workgroup size passed to the SYCL kernel may exceed the
limit. To get the device limit, query info::device::max_work_group_size.
Adjust the workgroup size if needed.
"
3,"The workgroup size passed to the SYCL kernel may exceed
the limit. To get the device limit, query
info::device::max_work_group_size. Adjust the workgroup size if
needed.
"
4,"Migrated API does not return error code. (*, 0) is inserted.
You may need to rewrite this code.
"
5,"Error handling if-stmt was detected but could not be
rewritten.
"
6,"The statement could not be removed.
"
7,"clock function is not defined in the DPC++. This is a
hardware-specific feature. Consult with your hardware vendor to find a
replacement.
"
8,"The workgroup size passed to the SYCL kernel may exceed the limit.
To get the device limit, query info::device::max_work_group_size. Adjust the
workgroup size if needed.
"
9,"Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for better
performance, if there is no access to global memory.
"
10,"Consider replacing sycl::nd_item::barrier() with
sycl::nd_item::barrier(sycl::access::fence_space::local_space) for
better performance, if there is no access to global memory.
"
11,"The generated code assumes that ""l2_norm"" points to the global
memory address space. If it points to a local memory address space, replace
""dpct::atomic_fetch_add"" with ""dpct::atomic_fetch_add<float,
sycl::access::address_space::local_space>"".
"
12,"The generated code assumes that ""total_obj_val"" points to the
global memory address space. If it points to a local memory address space,
replace ""dpct::atomic_fetch_add"" with ""dpct::atomic_fetch_add<float,
sycl::access::address_space::local_space>"".
"
13,"The generated code assumes that ""correct"" points to the global
memory address space. If it points to a local memory address space, replace
""dpct::atomic_fetch_add"" with ""dpct::atomic_fetch_add<int,
sycl::access::address_space::local_space>"".
"
14,"The generated code assumes that ""&grad[A_col_index[j]]"" points
to the global memory address space. If it points to a local memory address
space, replace ""dpct::atomic_fetch_add"" with
""dpct::atomic_fetch_add<float, sycl::access::address_space::local_space>"".
"
15,"Migrated API does not return error code. (*, 0) is inserted. You
may need to rewrite this code.
"
16,"The workgroup size passed to the SYCL kernel may exceed the
* limit. To get the device limit, query info::device::max_work_group_size.
* Adjust the workgroup size if needed.
"
17,"The generated code assumes that ""&vo[im + dims.nm     * (
iu + NU           * (
ix + dims_ncell_x * (
iy + dims_ncell_y * (
ie + dims_ne      * (
"
18,"The generated code assumes that ""&head[0]"" points to the global
memory address space. If it points to a local memory address space, replace
""dpct::atomic_fetch_add"" with ""dpct::atomic_fetch_add<int,
sycl::access::address_space::local_space>"".
"
19,"The generated code assumes that ""&head[0]"" points to the
global memory address space. If it points to a local memory address
space, replace ""dpct::atomic_fetch_add"" with
""dpct::atomic_fetch_add<int, sycl::access::address_space::local_space>"".
"
20,"The generated code assumes that ""&finished[lmem[1]]"" points to
the global memory address space. If it points to a local memory address
space, replace ""dpct::atomic_fetch_add"" with ""dpct::atomic_fetch_add<int,
sycl::access::address_space::local_space>"".
"
21,"The generated code assumes that ""&finished[next_in_cycle]""
points to the global memory address space. If it points to a local
memory address space, replace ""dpct::atomic_exchange"" with
""dpct::atomic_exchange<int, sycl::access::address_space::local_space>"".
"
22,"The generated code assumes that ""&head[0]"" points to the
global memory address space. If it points to a local memory address space,
replace ""dpct::atomic_fetch_add"" with ""dpct::atomic_fetch_add<int,
sycl::access::address_space::local_space>"".
"
23,"SYCL uses exceptions to report errors and does not
* use the error codes. The call was replaced with 0. You need to
* rewrite this code.
"
24,"The workgroup size passed to the SYCL kernel may exceed
* the limit. To get the device limit, query
* info::device::max_work_group_size. Adjust the workgroup size if needed.
"
25,"Migrated API does not return error code. (*, 0) is inserted.
* You may need to rewrite this code.
"
26,"SYCL uses exceptions to report errors and does not use the
* error codes. The call was replaced with 0. You need to rewrite this code.
"
27,"clock function is not defined in the DPC++. This
is a hardware-specific feature. Consult with your hardware
vendor to find a replacement.
"
28,"The generated code assumes that ""emp4i"" points to the global
memory address space. If it points to a local memory address space, replace
""dpct::atomic_fetch_add"" with ""dpct::atomic_fetch_add<double,
sycl::access::address_space::local_space>"".
"
29,"The generated code assumes that ""emp4k"" points to the global
memory address space. If it points to a local memory address space, replace
""dpct::atomic_fetch_add"" with ""dpct::atomic_fetch_add<double,
sycl::access::address_space::local_space>"".
"
30,"The generated code assumes that ""emp5i"" points to the global
memory address space. If it points to a local memory address space, replace
""dpct::atomic_fetch_add"" with ""dpct::atomic_fetch_add<double,
sycl::access::address_space::local_space>"".
"
